player_id,name,sub_position,age,snapshot_date,horizon_months,outcome_due_date,model,current_value_eur,predicted_pct_change,predicted_value_eur,pct_q10,pct_q90
565822,Harvey Elliott,Attacking Midfield,23.16495550992471,2026-06-03,6,2027-02-11,xgboost,20000000,-0.073818915,18523621.70815468,-0.3320543,0.3819759
566799,James Trafford,Goalkeeper,23.64681724845996,2026-06-03,6,2027-02-11,xgboost,25000000,-0.0006413873,24983965.31736944,-0.23741461,0.29781568
566931,Xavi Simons,Attacking Midfield,23.11841204654346,2026-06-03,6,2027-02-11,xgboost,40000000,-0.08859806,36456077.69489288,-0.3206812,0.2539922
567576,Elliot Anderson,Central Midfield,23.572895277207394,2026-06-03,6,2027-02-11,xgboost,75000000,0.14846973,86135229.84087467,-0.10482113,0.3934293
568006,Dennis Cirkin,Left-Back,24.15879534565366,2026-06-03,6,2027-02-11,xgboost,6000000,-0.050595947,5696424.320340157,-0.33547723,0.4770238
568157,Yéremy Pino,Right Winger,23.619438740588638,2026-06-03,6,2027-02-11,xgboost,30000000,-0.0534323,28397030.979394913,-0.29598808,0.24514502
568177,Cole Palmer,Attacking Midfield,24.076659822039698,2026-06-03,6,2027-02-11,xgboost,100000000,-0.13211283,86788716.91226959,-0.30044138,0.15432589
568559,Radu Drăgușin,Centre-Back,24.32854209445585,2026-06-03,6,2027-02-11,xgboost,16000000,-0.14444602,13688863.754272461,-0.33470872,0.29669788
568693,Pape Matar Sarr,Central Midfield,23.718001368925393,2026-06-03,6,2027-02-11,xgboost,30000000,-0.109079495,26727615.147829056,-0.26160836,0.2720206
569663,Mathias Kvistgaarden,Centre-Forward,24.11772758384668,2026-05-28,6,2027-02-06,xgboost,6000000,-0.1033098,5380141.18373394,-0.36075372,0.45461455
571743,Armando Broja,Centre-Forward,24.72826830937714,2026-06-03,6,2027-02-11,xgboost,5000000,-0.13157323,4342133.849859238,-0.40106186,0.384543
572265,Lorenzo Lucca,Centre-Forward,25.727583846680357,2026-06-03,6,2027-02-11,xgboost,20000000,-0.10138971,17972205.728292465,-0.24639183,0.35318205
576314,Jan Paul van Hecke,Centre-Back,25.984941820670773,2026-06-03,6,2027-02-11,xgboost,45000000,0.09995333,49497899.897396564,-0.122071706,0.40022174
578391,Rayan Aït-Nouri,Left-Back,24.99110198494182,2026-06-03,6,2027-02-11,xgboost,40000000,-0.00938135,39624745.99480629,-0.20165576,0.25438055
578539,Chris Richards,Centre-Back,26.182067077344286,2026-06-03,6,2027-02-11,xgboost,28000000,0.07993616,30238212.525844574,-0.11909524,0.3015347
579295,Melker Widell,Central Midfield,24.10677618069815,2026-05-28,6,2027-02-06,xgboost,1800000,0.22395115,2203112.0628118515,-0.14212377,0.8494918
581672,Samuel Iling-Junior,Left Midfield,22.650239561943874,2026-05-29,6,2027-02-07,xgboost,6500000,-0.058963083,6116739.962249994,-0.32444894,0.55830544
581675,Harvey Vale,Right Midfield,22.22861054072553,2025-12-03,6,2026-08-12,xgboost,1500000,0.05208584,1578128.7588179111,-0.2422603,0.6932692
582078,Will Dennis,Goalkeeper,25.415468856947296,2025-12-09,6,2026-08-18,xgboost,350000,0.09256736,382398.5766619444,-0.14212085,0.6778656
583189,Anthony Elanga,Right Winger,24.10130047912389,2026-06-03,6,2027-02-11,xgboost,32000000,-0.1233358,28053254.36592102,-0.34945878,0.23749799
